CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ACC13-05,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-06,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-07,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-08,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-09,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC13-10,480,480,Classic 925 Silver Rakhi Belt,PC,552,552,672,672,672,,,ZNX,BBO,LIO,
ACC14-01,150,395,Imported Exclusive Brooch,7.55,209,454,308,553,"4,175",,,RBX,OXG,AXN,
ACC14-02,150,395,Imported Exclusive Brooch,7.45,209,454,308,553,"4,120",,,RBX,OXG,AXN,
ACC14-03,150,395,Imported Exclusive Brooch,9.50,209,454,308,553,"5,254",,,RBX,OXG,AXN,
ACC14-04,150,395,Imported Exclusive Brooch,5.60,209,454,308,553,"3,097",,,RBX,OXG,AXN,
ACC14-05,150,395,Imported Exclusive Brooch,7.55,209,454,308,553,"4,175",,,RBX,OXG,AXN,
ACC14-06,150,395,Imported Exclusive Brooch,7.25,209,454,308,553,"4,009",,,RBX,OXG,AXN,
ACC15-01,110,355,Srinath Ji Oxide Matte Brooch,11.70,163,408,252,497,"5,815",,,RRX,RLA,OBO,
ACC16-09,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
ACC16-18,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
ACC16-22,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
ACC16-23,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
ACC16-26,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
ACC16-31,410,410,RakshaBand Pure 999 Silver Rakhi,PC,472,472,574,574,574,,,ZRX,ZIO,BIZ,
